id,Name,Age,Gender,Location,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
1248,Nadia Ouled Said,18,Male,Djelfa,9th,7.5,8.1,70,7,0.8,7,3,4,1,1.1,119,15,2.2,1.4,1.9,Other,5,5.5,10.0
1249,Naima Djilali,17,Prefer not to say,El Hachimia,10th,5.2,5.7,53,6,0.1,5,6,4,0,1.1,24,7,3.5,0.6,0.6,Gaming,2,4.8,8.3
1250,Samar Louanchi,16,Prefer not to say,In Salah,12th,4.9,6.8,56,1,0.9,2,7,5,1,0.6,86,11,2.8,2.0,0.7,Social Media,5,8.7,10.0
1251,Cherif Benaissa,16,Prefer not to say,Saoula,8th,11.5,8.6,96,0,1.3,3,1,10,0,0.2,58,12,3.0,0.0,1.4,Browsing,5,4.8,10.0
1252,Racha Bouteldja,13,Female,Béchar,8th,4.4,6.8,62,8,1.4,2,1,10,0,1.7,66,7,0.9,0.0,0.0,Browsing,1,6.9,4.6
1253,Soufiane Nemouchi,13,Female,Dar Chioukh,7th,6.8,6.0,70,7,1.5,3,9,6,0,1.0,62,15,2.1,1.1,0.6,Gaming,3,6.5,10.0
1254,Selma Sifi,17,Prefer not to say,Ghardaïa,8th,6.2,4.4,56,4,0.9,1,5,6,1,1.5,46,14,2.2,1.2,0.0,Browsing,5,2.9,10.0
1255,Najia Rabhi,16,Female,Messaad,8th,3.8,6.0,76,6,0.9,6,2,8,1,0.8,123,14,3.3,1.6,0.9,Other,10,8.2,10.0
1256,Mahmoud Chikh,15,Female,Ghardaïa,7th,5.0,5.6,68,10,0.8,5,6,1,0,1.5,83,16,3.4,0.2,1.7,Other,7,9.3,10.0
1257,Walid Debbah,14,Prefer not to say,Saharij,12th,8.7,6.5,86,9,0.5,5,4,6,0,1.0,35,6,2.3,1.8,1.0,Browsing,4,7.9,10.0
1258,Camila Chikh,15,Prefer not to say,Mizrana,9th,3.3,5.3,51,2,1.6,5,2,3,0,0.8,102,15,0.6,1.8,0.8,Gaming,1,3.5,8.1
1259,Zaki Ouahrani,19,Female,Chellata,8th,6.4,5.1,93,5,0.5,4,9,1,1,1.5,112,13,1.0,1.0,0.0,Other,10,7.4,10.0
1260,Jihane Benmokhtar,18,Female,Hamma Loulé,10th,6.5,5.3,70,2,1.5,6,7,6,0,1.1,85,17,1.5,0.7,1.9,Social Media,4,6.7,10.0
1261,Islam Rahmouni,17,Female,Aghbalou,11th,7.5,6.6,58,5,0.1,6,2,7,1,1.0,77,16,0.9,0.9,1.7,Social Media,6,7.6,10.0
1262,Ghiles Bahri,17,Male,Djelfa,7th,8.5,9.3,69,4,0.5,8,6,7,0,1.6,119,13,1.8,2.1,1.0,Browsing,10,5.5,10.0
1263,Heythem Fares,19,Male,Bougaa,11th,5.4,6.1,62,3,1.1,5,6,1,0,1.5,140,18,1.1,0.9,0.8,Education,7,5.6,10.0
1264,Inas Kaci,17,Female,Guelma,9th,4.8,4.1,63,9,1.2,9,7,7,0,0.3,91,20,1.9,1.6,1.4,Gaming,4,8.0,10.0
1265,Islam Messaoud,17,Female,Tiaret,11th,7.0,5.9,52,5,1.6,1,4,2,0,0.5,66,18,2.7,2.0,0.6,Social Media,3,4.1,10.0
1266,Malik Boutaleb,16,Female,Chir,11th,9.1,5.8,99,8,2.2,4,7,1,0,1.7,36,16,2.2,2.6,0.0,Social Media,9,7.6,10.0
1267,Ouahiba Cherif,19,Male,Akbou,11th,4.0,3.8,92,2,1.0,8,4,6,1,1.8,123,7,4.2,2.6,1.1,Education,5,2.7,10.0
1268,Yassin Ben Toumi,16,Male,Tigzirt,7th,5.0,3.3,98,8,1.5,5,6,7,1,0.0,48,18,3.0,2.2,2.5,Social Media,7,5.2,10.0
1269,Imad Ibrahim,16,Female,Oran,7th,8.9,6.3,95,8,1.8,1,7,1,1,0.6,148,7,2.3,0.0,1.0,Gaming,10,9.6,10.0
1270,Aicha Selmane,19,Male,Béni Abbès,11th,5.9,8.2,71,10,1.5,2,5,4,0,1.4,41,11,3.5,2.8,1.7,Social Media,6,2.0,10.0
1271,Samira Mahdi,16,Male,Naciria,10th,3.1,7.3,78,4,1.1,6,8,6,0,1.6,39,16,3.1,2.4,0.1,Social Media,9,5.7,8.9
1272,Okba Khammar,14,Prefer not to say,Laalam,10th,2.1,7.1,50,1,0.9,2,1,8,1,0.6,26,18,3.3,0.8,0.0,Education,8,7.0,6.8
1273,Assia Merabet,19,Prefer not to say,Tiaret,7th,7.3,4.7,71,4,0.8,10,7,9,0,1.4,113,14,3.5,2.9,1.6,Browsing,5,4.9,10.0
1274,Amine Rabhi,19,Male,Akbou,12th,6.7,5.8,95,6,0.0,4,8,10,1,0.9,53,11,2.4,1.4,1.7,Education,8,2.6,10.0
1275,Sarah Djilali,17,Male,Haraza,11th,4.6,4.7,88,6,1.9,8,1,6,1,1.6,66,19,1.9,0.5,0.7,Browsing,6,7.1,9.8
1276,Mohamed El Hachemi,14,Prefer not to say,Draâ Ben Khedda,9th,4.4,7.0,91,6,1.4,4,7,5,0,0.3,104,11,4.2,1.5,0.8,Social Media,6,5.0,10.0
1277,Walid Othmani,15,Female,Béchar,8th,5.7,6.4,57,7,0.0,7,9,2,1,1.3,146,8,3.2,0.7,1.6,Other,6,7.6,10.0
1278,Ouahiba Ykhlef,18,Male,Biskra,10th,3.5,5.5,53,0,1.1,9,6,5,1,1.4,128,7,2.5,1.7,2.4,Other,5,3.9,8.9
1279,Amel Bouziane,17,Female,Husseïn Dey,12th,6.6,5.5,68,2,2.0,4,2,9,1,1.4,138,19,3.6,0.5,2.1,Browsing,3,6.7,10.0
1280,Lina Boudjemaa,14,Male,El Hadaiek,12th,7.2,6.1,77,9,0.0,1,3,2,0,1.1,26,7,0.8,1.9,1.2,Social Media,1,3.7,8.8
1281,Wissal Chabane,18,Female,Beni Messous,8th,7.8,7.8,69,2,0.0,4,8,8,0,1.5,68,17,0.4,3.0,1.0,Browsing,2,5.8,10.0
1282,Ahmed Ouahrani,16,Male,Bir Ghbalou,10th,5.9,5.0,54,3,0.5,7,10,5,0,1.0,53,10,2.8,0.8,0.0,Education,9,6.1,10.0
1283,Nadir Zouaghi,17,Male,Beni Messous,11th,4.7,6.9,78,9,1.3,9,2,3,0,1.2,91,6,2.6,0.9,1.3,Education,8,4.6,7.8
1284,Rayane Ben Said,18,Male,Ouled Sidi Brahim,9th,6.4,7.3,84,3,0.2,10,6,1,1,0.0,52,12,1.0,2.4,0.0,Gaming,6,9.2,9.6
1285,Jihane Fekir,15,Female,Médéa,8th,3.6,6.1,73,6,0.0,4,10,7,0,1.0,37,17,3.1,1.1,1.4,Browsing,8,5.3,8.9
1286,Jaouad Cherif,18,Prefer not to say,Djendel,12th,2.9,5.8,78,6,1.0,9,3,5,1,1.0,61,12,0.6,0.0,0.6,Social Media,4,5.6,4.2
1287,Karim Mezouar,16,Male,Iboudrarene,10th,3.0,4.7,51,10,3.0,1,8,1,1,0.3,42,18,1.7,3.3,0.0,Education,3,6.7,10.0
1288,Najia Khaldi,15,Female,Djelfa,8th,6.2,7.8,57,5,1.3,9,6,5,1,0.6,75,16,2.9,0.0,0.4,Other,3,5.4,9.9
1289,Anis Ben Amor,19,Prefer not to say,Semaoûn,9th,4.2,6.6,76,3,1.0,9,3,3,1,0.8,27,9,1.7,2.3,1.4,Social Media,8,6.6,7.2
1290,Safia Ben Toumi,14,Male,Adrar,10th,1.9,4.6,56,1,2.6,6,6,1,0,1.0,101,15,2.1,2.4,1.8,Browsing,6,7.0,9.1
1291,Zahra Kerroum,14,Female,Iferhounène,10th,5.3,6.3,51,0,1.4,1,8,7,0,0.8,20,10,1.0,0.0,0.1,Other,8,6.6,5.5
1292,Soraya Chaoui,19,Prefer not to say,Tigharghar,10th,6.1,6.5,92,7,0.7,10,10,6,0,1.2,103,17,1.5,2.4,0.6,Browsing,9,3.7,10.0
1293,Zineb Khaldi,18,Female,El Eulma,8th,2.5,7.9,88,9,0.2,10,1,5,1,0.0,90,9,3.5,1.7,1.4,Social Media,9,4.3,7.3
1294,Djamel Sahraoui,13,Male,Taoura,9th,6.9,8.4,60,1,0.7,2,4,9,0,1.6,140,16,2.8,3.1,1.3,Gaming,8,5.8,10.0
1295,Juba Khelifa,15,Male,M'Sila,12th,3.2,8.7,58,4,0.6,8,3,4,1,1.4,26,20,3.4,2.1,0.5,Education,5,7.7,8.9
1296,Ali Tigha,14,Prefer not to say,Freha,9th,7.7,9.8,68,8,1.1,8,4,4,0,0.7,122,20,3.3,1.7,1.9,Education,5,5.3,10.0
1297,Lakhdar Touam,16,Female,Béjaïa,8th,5.9,9.1,72,0,1.2,2,4,6,1,1.0,108,18,3.1,0.0,1.4,Browsing,2,4.4,10.0
1298,Selma Sellami,16,Male,Aïn Oussara,7th,5.3,5.6,62,7,0.7,9,4,6,1,0.6,97,15,2.0,1.8,1.0,Gaming,2,5.7,10.0
1299,Farida Merouane,16,Male,Constantine,11th,5.4,4.9,72,3,1.7,6,4,6,0,1.4,45,13,2.6,1.2,0.5,Gaming,10,4.1,10.0
1300,Noureddine Kaci,19,Male,Bousaada,8th,5.4,4.7,91,2,1.9,4,10,1,1,1.1,126,13,5.0,1.4,2.6,Social Media,3,3.8,10.0
1301,Soha Gacemi,13,Female,Blida,9th,4.8,9.1,55,3,1.2,6,3,4,1,1.8,87,20,2.1,3.1,1.3,Gaming,10,2.1,10.0
1302,Safia Chikh,15,Female,Aïn Azel,10th,6.9,6.4,81,9,2.6,3,6,8,0,1.3,33,9,2.7,2.0,0.0,Social Media,1,7.1,10.0
1303,Hanane Bachiri,15,Male,Constantine,7th,5.8,8.1,70,9,0.4,8,8,6,0,0.3,46,6,2.6,1.3,0.7,Other,6,8.6,7.8
1304,Sana Mostefaoui,14,Male,Tindouf,9th,3.5,5.2,97,6,0.4,6,1,9,0,0.0,63,5,3.2,0.5,2.0,Gaming,1,6.5,6.9
1305,Malika Ouattara,15,Prefer not to say,Gueddara,7th,4.3,6.5,98,0,0.0,10,8,5,1,1.0,89,20,3.2,1.9,1.2,Gaming,1,3.6,10.0
1306,Nadir Remili,16,Male,Hassi Bahbah,7th,7.0,8.1,99,8,0.9,6,5,8,1,1.1,51,5,4.4,1.7,2.9,Social Media,7,9.0,10.0
1307,Wahid Rahmani,17,Male,Ghanem,9th,8.3,6.1,72,8,1.5,7,4,10,1,1.1,67,8,2.7,2.3,2.1,Browsing,5,5.0,10.0
1308,Riadh Djaballah,15,Female,El Bayadh,12th,4.3,7.3,95,7,1.7,8,2,7,1,1.3,26,20,5.0,1.1,1.5,Other,10,11.4,10.0
1309,Jaouad Tigha,18,Female,Tamanrasset,7th,4.6,6.6,99,3,1.7,5,4,7,1,0.9,43,5,3.2,0.5,2.5,Browsing,10,2.5,6.9
1310,Sofian Akroum,13,Female,Timizart,9th,7.0,5.6,72,0,0.9,3,8,6,1,1.5,145,17,4.0,1.9,1.9,Gaming,9,5.0,10.0
1311,Khaled Ben Toumi,13,Female,Saharij,10th,6.9,5.3,84,10,0.4,4,1,6,1,1.1,136,9,3.5,0.3,2.3,Other,6,7.1,10.0
1312,Zahra Benguettaf,16,Prefer not to say,Ouled Saber,7th,3.7,8.2,60,4,0.3,9,1,7,0,0.7,139,14,4.6,2.2,0.0,Browsing,8,6.3,10.0
1313,Nada Benhadj,14,Prefer not to say,Khraicia,11th,2.3,7.5,84,9,0.6,1,9,2,1,0.7,46,6,2.8,2.1,0.0,Other,5,6.8,5.6
1314,Jaouad Touati,17,Prefer not to say,Béni Abbès,11th,5.2,7.8,75,8,4.0,5,9,4,1,1.4,134,15,1.5,1.8,0.2,Other,6,5.7,10.0
1315,Hassan Salhi,15,Prefer not to say,Messaâd,10th,5.7,6.7,74,5,1.1,1,6,10,0,1.7,54,5,2.1,3.9,1.0,Gaming,8,4.9,10.0
1316,Wahid Slimani,18,Male,Aïn Oussara,7th,7.1,6.8,86,10,1.7,4,7,8,1,0.9,45,5,4.0,0.1,1.3,Education,7,7.1,9.7
1317,Zahia Benfodil,19,Male,Aïn Témouchent,10th,2.7,7.3,82,8,1.5,10,1,2,0,1.3,131,10,2.2,0.9,1.7,Browsing,5,6.7,6.8
1318,Dounia Chikh,13,Prefer not to say,Tindouf,10th,5.1,6.1,70,2,2.2,5,6,8,0,1.0,34,7,2.3,1.6,0.5,Browsing,9,8.0,8.0
1319,Chawki Selmane,13,Male,Hamma,12th,4.3,5.8,100,10,0.4,2,1,9,1,0.9,126,15,3.4,1.3,1.2,Other,8,5.0,10.0
1320,Yahia Ouled Said,13,Prefer not to say,Chir,7th,4.0,6.0,51,2,1.0,4,6,3,1,0.3,113,20,3.7,1.9,0.0,Other,4,7.4,10.0
1321,Karima Ouled Said,15,Female,Lounassa,7th,3.3,5.3,65,7,1.1,6,5,1,0,1.6,142,9,3.3,0.0,0.9,Social Media,9,7.9,8.6
1322,Malika Debbah,17,Male,Amoucha,9th,1.2,7.6,62,2,2.0,3,5,8,1,0.8,97,14,2.6,0.2,0.9,Browsing,9,6.2,4.9
1323,Bilal Rahmani,19,Prefer not to say,Talkhamt,8th,4.6,6.8,90,4,1.1,1,9,10,0,0.5,131,14,2.9,0.0,0.0,Other,4,3.0,9.5
1324,Rabah Boudjemaa,14,Prefer not to say,El Hadaiek,12th,5.3,6.4,100,10,0.0,2,5,5,1,0.0,112,17,1.8,3.3,0.7,Gaming,7,6.4,10.0
1325,Tarek El Fassi,14,Male,Aïn Oulmene,7th,2.6,7.0,94,3,2.2,4,4,5,0,0.9,150,5,1.9,2.5,0.4,Gaming,10,8.3,7.5
1326,Soha Arar,16,Prefer not to say,Mekla,12th,5.3,6.1,98,2,1.7,9,4,2,1,1.1,51,7,3.2,0.0,0.9,Other,1,6.1,7.9
1327,Chahinez Rahmouni,19,Female,Messaad,7th,3.1,5.7,53,10,0.4,3,7,5,1,0.5,46,16,3.2,2.1,0.5,Gaming,3,4.6,9.7
1328,Houria Ali,19,Female,El Main,11th,5.6,6.5,77,4,0.5,10,9,1,1,1.8,70,11,2.5,0.7,0.0,Social Media,4,6.9,9.1
1329,Hocine Djilali,16,Female,Aïn Roua,10th,5.3,6.0,84,4,1.1,10,5,6,0,0.7,103,17,2.7,2.2,0.8,Browsing,3,2.6,10.0
1330,Azzedine Benali,17,Prefer not to say,El Kantara,8th,5.0,9.9,68,5,1.5,2,7,2,1,0.6,35,6,3.8,0.0,1.9,Education,10,2.4,5.7
1331,Majid El Hachemi,14,Prefer not to say,Béchar,10th,5.9,4.4,62,0,0.0,4,4,7,0,1.8,123,8,4.0,2.7,0.1,Gaming,3,6.8,10.0
1332,Linda Larbi,17,Female,Sidi Lakhdar,7th,6.3,7.4,77,8,1.6,4,4,10,0,1.4,110,8,3.7,1.5,1.9,Gaming,1,3.1,10.0
1333,Wahid Belkacem,18,Prefer not to say,In Guezzam,7th,4.5,7.3,50,9,0.0,7,8,10,0,1.7,28,6,1.3,2.2,1.7,Browsing,7,3.6,6.1
1334,Ilyes Zouaghi,17,Male,Djasr Kasentina,7th,6.4,6.9,82,1,0.7,2,6,6,0,1.4,56,10,1.4,1.9,1.8,Other,2,1.6,9.4
1335,Leila Djaout,13,Male,Constantine,8th,3.6,6.8,50,1,0.1,9,1,6,1,0.0,40,20,2.4,4.0,1.4,Other,2,5.3,10.0
1336,Ilyes Nasri,15,Female,In Salah,12th,4.1,5.8,75,7,0.3,9,10,9,1,1.2,120,6,1.9,0.0,1.0,Browsing,7,4.0,6.7
1337,Chafik Saidi,19,Female,Bougaa,9th,4.1,4.2,83,2,0.2,9,7,3,0,0.7,101,6,2.3,0.6,0.1,Social Media,8,8.5,8.1
1338,Souhila Mezouar,15,Male,Saïda,7th,7.5,7.3,65,0,1.0,7,6,3,1,0.5,149,17,3.2,1.5,0.6,Other,10,5.5,10.0
1339,Sonia Sifi,17,Prefer not to say,Mascara,12th,2.3,7.2,55,10,1.2,5,7,4,0,0.1,141,6,3.6,2.4,1.6,Gaming,8,5.8,8.7
1340,Ali Mostefaoui,15,Male,Chaâbet El Ham,9th,0.3,6.5,56,2,2.0,1,1,1,0,1.3,135,16,1.1,0.0,1.0,Browsing,2,5.0,4.1
1341,Souhila El Hachemi,14,Prefer not to say,El Hadjira,9th,0.5,6.2,57,7,1.0,6,6,1,0,0.9,73,7,4.0,2.3,1.2,Education,8,5.7,6.6
1342,Ryma Si Ali,16,Male,Oued Zénati,7th,4.1,5.4,62,6,1.0,8,9,6,0,2.1,62,9,2.3,0.0,1.6,Other,9,7.1,6.7
1343,Lounes Djilali,16,Male,Belouizdad,8th,5.2,7.6,76,9,0.8,9,1,6,1,1.3,147,14,3.2,0.9,1.4,Gaming,1,7.9,10.0
1344,Mahmoud Fares,16,Prefer not to say,In Guezzam,12th,7.7,7.3,70,4,0.7,5,8,6,1,1.5,79,10,1.9,1.6,1.6,Other,4,6.4,10.0
1345,Akram El Hachemi,13,Prefer not to say,Aïn Torki,11th,5.7,8.8,85,1,1.6,8,3,7,1,0.8,26,5,0.3,0.6,0.9,Other,5,9.1,3.7
1346,Emna Abbas,19,Prefer not to say,Aïn Oussara,8th,1.4,6.1,62,5,0.4,8,2,1,1,0.3,77,8,1.4,1.5,1.3,Browsing,2,3.0,4.4
1347,Wassila Mostefaoui,15,Female,Bouzareah,7th,8.0,4.7,71,3,0.9,6,8,4,1,0.5,84,9,4.4,1.6,0.0,Browsing,7,7.1,10.0
1348,Sabrina Bouzid,13,Male,Besbes,9th,3.3,7.4,93,10,0.8,6,1,7,1,0.1,97,19,1.9,0.8,0.0,Other,10,2.4,8.0
1349,Mansour Louanchi,16,Female,Ouled Djellal,10th,5.1,8.9,62,7,3.5,2,4,7,0,1.5,80,7,1.7,1.2,1.6,Browsing,8,10.4,6.5
1350,Lakhdar Zaoui,14,Male,Blidet Amor,9th,5.9,6.3,89,0,0.7,3,6,9,1,1.3,54,19,3.0,2.3,1.4,Browsing,8,7.5,10.0
1351,Fethi Debbah,18,Male,Khenchela,11th,9.4,3.0,62,0,1.7,10,9,2,0,1.3,101,20,1.5,1.7,1.1,Gaming,8,3.5,10.0
1352,Sonia Kaci,14,Prefer not to say,Ouled Moussa,11th,4.1,3.0,93,9,0.7,7,4,5,0,1.1,81,15,3.6,1.2,1.7,Education,3,4.7,10.0
1353,Akram Tayebi,17,Male,Les Eucalyptus,7th,6.4,7.3,66,1,2.2,8,7,8,0,0.5,144,11,1.9,0.4,1.9,Browsing,4,3.9,10.0
1354,Karim Fekir,19,Female,Aghbalou,12th,6.1,7.2,62,4,1.7,9,5,9,1,1.9,72,12,2.7,1.3,0.7,Gaming,8,7.8,10.0
1355,Karim Rouibah,18,Male,Aïn Abessa,7th,7.3,6.8,68,3,0.3,3,5,3,1,1.2,60,18,1.9,3.3,2.4,Social Media,10,4.9,10.0
1356,Issam Mansouri,18,Female,Casbah,9th,3.9,7.2,80,3,2.7,10,4,4,1,0.7,92,16,1.1,2.5,0.3,Gaming,3,6.3,8.9
1357,Ilyes Mohamed,17,Female,Ouled Djellal,12th,3.1,7.2,95,10,0.9,9,6,6,1,1.0,94,16,1.5,0.2,1.2,Browsing,6,5.0,6.3
1358,Assia Ziani,15,Female,Djanet,7th,6.8,5.2,55,0,2.0,2,10,10,0,0.8,58,16,3.4,0.6,0.3,Education,2,7.8,10.0
1359,Aicha Touam,15,Prefer not to say,Médéa,10th,3.0,8.2,94,1,0.5,1,4,6,1,0.8,132,12,3.2,0.2,1.1,Browsing,2,4.9,7.3
1360,Lina Si Ali,13,Prefer not to say,Hoceinia,12th,5.1,5.4,68,0,1.2,2,4,8,0,1.3,110,12,3.2,1.5,1.8,Education,3,4.7,10.0
1361,Lakhdar Gacemi,15,Prefer not to say,Khenchela,11th,4.9,6.3,85,3,0.7,10,7,1,1,0.6,88,10,3.7,2.2,0.8,Other,5,3.4,10.0
1362,Fethi Ben Hamou,19,Female,Timimoun,10th,7.7,4.3,53,5,0.6,10,10,5,1,0.4,85,9,2.9,2.1,1.4,Social Media,4,5.1,10.0
1363,Djallel Mostefaoui,15,Male,Médéa,8th,2.2,7.4,76,4,1.1,3,5,4,1,1.5,118,14,3.4,0.8,0.0,Gaming,2,7.4,7.9
1364,Yacine Bahri,16,Prefer not to say,Tizi Ouzou,11th,7.5,8.2,100,1,1.0,3,7,2,1,1.2,44,17,2.6,3.1,1.1,Education,1,5.3,10.0
1365,Ikram Moualek,13,Male,Staouéli,12th,4.5,7.8,74,4,0.6,7,9,3,0,1.3,104,15,0.8,0.0,0.9,Browsing,4,4.1,6.5
1366,Lotfi Benaissa,19,Male,Touggourt,8th,7.9,5.7,89,4,0.8,1,2,6,1,1.6,97,10,1.9,1.7,1.1,Social Media,10,4.9,10.0
1367,Malik Tayebi,16,Female,Djasr Kasentina,7th,1.2,7.2,51,6,0.2,10,10,10,1,1.2,93,7,2.1,1.8,0.0,Other,1,3.4,4.8
1368,Fawzi Louanchi,15,Male,Larbaâ Nath Irathen,10th,6.9,7.9,50,5,1.4,10,10,1,0,0.8,55,19,2.9,0.0,1.9,Social Media,6,6.0,10.0
1369,Adel Kadri,14,Male,Bordj Emir Abdelkader,11th,2.8,4.4,60,8,0.0,2,4,7,1,1.2,95,9,2.8,0.4,0.5,Gaming,10,8.1,7.5
1370,Juba Ben Hamou,16,Prefer not to say,Oued Zénati,12th,5.3,9.1,96,6,2.0,8,1,8,1,0.8,64,12,1.7,1.3,0.2,Gaming,6,7.0,7.4
1371,Cherif Bouziane,18,Male,Tazmalt,12th,3.9,5.5,94,3,0.6,9,9,3,0,1.3,79,9,2.6,1.3,1.3,Education,9,4.9,8.4
1372,Celia Djaout,16,Female,Béni Abbès,12th,4.6,7.3,58,4,0.7,1,10,10,1,0.7,143,20,3.9,2.1,0.4,Social Media,7,8.6,10.0
1373,Zahia Larbi,14,Female,Tamalous,12th,8.9,4.9,77,8,2.0,6,5,5,1,0.7,122,10,2.1,2.1,0.7,Browsing,7,7.8,10.0
1374,Zahra Hadj,16,Male,Dar El Beïda,9th,7.1,4.6,72,8,0.0,6,2,7,0,0.6,109,18,3.1,1.5,1.4,Education,1,5.6,10.0
1375,Sarah Toubal,15,Male,Guelma,12th,3.4,6.1,99,8,0.2,10,5,10,0,1.3,85,19,2.0,1.6,0.3,Other,4,4.2,9.4
1376,Camila Ben Said,13,Male,Bazer Sakhra,12th,6.3,4.9,55,5,0.2,1,1,6,0,1.1,128,15,1.8,2.0,0.6,Browsing,5,3.8,10.0
1377,Djamel Hadj,17,Prefer not to say,Rahmania,9th,3.4,9.0,56,3,2.1,7,8,7,1,1.0,74,12,1.6,1.3,1.0,Other,5,5.7,5.7
1378,Mehdi Boutaleb,19,Male,Batna,10th,4.2,8.3,81,7,1.6,9,10,8,1,0.4,96,20,1.9,3.8,0.3,Education,10,5.3,10.0
1379,Sara Nemouchi,16,Male,Relizane,7th,4.8,5.2,66,5,2.7,10,6,1,1,0.8,102,10,1.6,1.7,1.6,Other,1,8.7,9.5
1380,Ouahiba Benhadj,16,Female,Oued Koriche,10th,6.3,6.9,64,6,1.2,9,3,6,1,2.3,142,9,4.0,2.4,2.3,Education,4,5.3,10.0
1381,Warda Kerroum,14,Male,Sétif,11th,5.3,6.8,84,3,1.0,6,4,1,1,1.5,106,11,1.9,1.7,1.4,Social Media,5,6.2,9.8
1382,Salma Aissaoui,13,Male,Khraicia,9th,3.3,8.0,60,7,0.4,6,6,2,0,1.6,70,20,3.0,1.5,0.8,Education,9,4.9,9.2
1383,Youssra Ouali,19,Male,Médéa,7th,1.4,6.5,55,1,1.1,8,2,8,1,0.7,133,20,0.8,0.0,2.3,Education,6,3.8,5.6
1384,Faysal Henni,14,Male,El Hadaiek,12th,6.2,7.1,87,5,2.2,10,1,9,1,1.8,53,15,2.1,2.2,0.6,Gaming,6,9.1,10.0
1385,Ziad Boudjemaa,16,Male,Jijel,9th,4.4,4.7,69,4,0.4,3,4,3,1,0.2,119,8,2.6,2.0,2.6,Other,2,9.4,10.0
1386,Nihel Ouattara,18,Prefer not to say,El M'Ghair,9th,1.5,8.6,60,8,1.5,3,8,8,0,1.8,119,15,4.3,3.2,2.2,Browsing,8,3.2,10.0
1387,Khadija Arar,17,Prefer not to say,Béjaïa,9th,4.4,5.7,99,2,1.2,1,4,10,1,0.9,58,9,2.5,1.0,0.6,Other,2,4.3,8.0
1388,Soraya Ben Toumi,17,Male,Zéralda,10th,4.5,7.3,91,5,0.8,8,1,8,1,1.3,135,13,2.7,2.4,1.4,Other,4,6.7,10.0
1389,Nabil Khammar,15,Prefer not to say,El Kantara,7th,9.1,8.8,96,8,1.3,1,7,8,1,0.6,21,8,3.8,1.9,1.4,Other,1,8.8,10.0
1390,Meriem Segni,18,Prefer not to say,Tifra,7th,4.1,4.4,71,2,0.0,1,3,6,0,0.4,110,13,2.2,1.3,1.5,Education,7,6.7,10.0
1391,Naima Bachiri,15,Male,El Achour,10th,2.2,5.5,72,4,1.4,5,1,1,0,1.1,131,5,1.9,1.5,1.7,Social Media,4,4.7,6.5
1392,Lyes Kadri,18,Prefer not to say,Tifra,12th,6.9,10.0,90,5,1.8,10,9,8,0,0.7,96,11,2.9,3.0,0.5,Other,8,1.6,10.0
1393,Lina Ben Messaoud,15,Female,Relizane,9th,4.0,6.5,87,8,0.2,2,10,9,1,1.7,59,6,4.1,0.4,0.3,Social Media,1,5.3,7.6
1394,Loubna Djilali,17,Prefer not to say,Menzel,7th,6.1,4.6,85,4,1.4,5,2,7,1,0.1,39,5,2.6,0.4,1.2,Gaming,5,5.8,8.6
1395,Siham Ben Messaoud,15,Prefer not to say,Tiaret,10th,4.8,6.3,76,8,1.6,2,6,7,1,1.1,136,11,4.8,1.3,1.2,Social Media,8,5.3,10.0
1396,Sarah Bouziane,16,Female,Lounassa,9th,1.9,6.7,89,10,1.8,1,6,9,0,1.0,35,19,2.4,0.9,0.6,Browsing,8,5.7,6.4
1397,Sana Haddad,15,Prefer not to say,Djemila,9th,8.5,7.3,60,6,1.6,8,1,3,1,1.1,149,5,2.9,1.7,0.5,Other,8,6.8,10.0
1398,Kais Debbah,13,Female,El Kala,7th,5.0,7.1,89,8,1.9,7,6,4,0,0.9,146,6,2.5,2.6,0.8,Browsing,7,3.5,10.0
1399,Hayat Attia,14,Prefer not to say,Ferraoun,9th,5.9,6.3,94,2,1.5,3,4,2,0,1.0,127,14,1.8,2.9,0.9,Education,3,6.6,10.0
1400,Majda Zaoui,19,Male,Aïn Oulmene,11th,6.9,6.4,62,4,1.4,9,1,1,1,1.6,146,9,3.2,0.0,0.0,Browsing,8,5.8,10.0
1401,Sofian Madani,14,Female,El Eulma,7th,4.6,6.2,56,4,1.1,5,9,5,1,0.7,120,6,2.4,0.7,1.2,Social Media,8,4.4,8.2
1402,Sabah Khelifa,16,Prefer not to say,Biskra,8th,3.8,5.2,87,9,2.6,2,8,4,1,0.7,60,13,1.0,1.1,1.1,Education,6,8.7,7.1
1403,Chaima Boussaada,16,Prefer not to say,Boukrama,12th,6.6,3.0,85,3,0.0,9,7,9,0,1.1,95,19,2.5,1.2,1.1,Gaming,4,6.9,10.0
1404,Ryma Mansouri,16,Female,Souk El Ténine,8th,2.4,4.2,53,10,1.1,4,7,4,0,0.8,108,10,1.9,1.6,1.1,Browsing,8,3.9,8.0
1405,Wissal Kaidi,17,Male,Oum El Bouaghi,7th,1.1,5.5,78,0,0.8,9,1,7,1,0.6,126,11,2.7,0.6,0.4,Social Media,5,7.1,6.4
